event_id,session_id,airport,gate,delay_minutes,event_type,event_timestamp
e00000,s0000,DIA,A24,75,delay_detected,2026-08-06 11:14:00
e00001,s0000,DIA,A24,75,options_prompt_shown,2026-08-06 11:14:11
e00002,s0002,ORD,A18,60,delay_detected,2026-08-16 12:41:00
e00003,s0002,ORD,A18,60,options_prompt_shown,2026-08-16 12:41:31
e00004,s0002,ORD,A18,60,options_prompt_engaged,2026-08-16 12:42:49
e00005,s0002,ORD,A18,60,venue_selected,2026-08-16 12:43:00
e00006,s0002,ORD,A18,60,directions_viewed,2026-08-16 12:43:07
e00007,s0003,ATL,C5,60,delay_detected,2026-08-17 12:21:00
e00008,s0003,ATL,C5,60,options_prompt_shown,2026-08-17 12:21:29
e00009,s0003,ATL,C5,60,options_prompt_engaged,2026-08-17 12:23:20
e00010,s0003,ATL,C5,60,venue_selected,2026-08-17 12:24:37
e00011,s0003,ATL,C5,60,directions_viewed,2026-08-17 12:24:53
e00012,s0004,LAX,A18,75,delay_detected,2026-08-18 22:40:00
e00013,s0004,LAX,A18,75,options_prompt_shown,2026-08-18 22:41:00
e00014,s0004,LAX,A18,75,options_prompt_dismissed,2026-08-18 22:41:11
e00015,s0005,DIA,B25,75,delay_detected,2026-08-02 22:54:00
e00016,s0005,DIA,B25,75,options_prompt_shown,2026-08-02 22:54:11
e00017,s0005,DIA,B25,75,options_prompt_engaged,2026-08-02 22:55:12
e00018,s0006,ATL,B12,75,delay_detected,2026-08-05 17:42:00
e00019,s0006,ATL,B12,75,options_prompt_shown,2026-08-05 17:42:48
e00020,s0007,ORD,B6,90,delay_detected,2026-08-09 08:17:00
e00021,s0008,SEA,B22,75,delay_detected,2026-08-19 05:49:00
e00022,s0008,SEA,B22,75,options_prompt_shown,2026-08-19 05:49:19
e00023,s0009,LAX,C3,60,delay_detected,2026-08-20 17:36:00
e00024,s0009,LAX,C3,60,options_prompt_shown,2026-08-20 17:36:25
e00025,s0009,LAX,C3,60,options_prompt_engaged,2026-08-20 17:37:31
e00026,s0009,LAX,C3,60,venue_selected,2026-08-20 17:40:25
e00027,s0009,LAX,C3,60,directions_viewed,2026-08-20 17:40:35
e00028,s0010,SEA,C24,120,delay_detected,2026-08-10 09:57:00
e00029,s0010,SEA,C24,120,options_prompt_shown,2026-08-10 09:57:28
e00030,s0010,SEA,C24,120,options_prompt_engaged,2026-08-10 09:57:48
e00031,s0010,SEA,C24,120,venue_selected,2026-08-10 09:58:21
e00032,s0010,SEA,C24,120,directions_viewed,2026-08-10 09:58:26
e00033,s0012,SEA,D17,75,delay_detected,2026-08-13 01:55:00
e00034,s0013,DIA,C25,150,delay_detected,2026-08-08 12:07:00
e00035,s0013,DIA,C25,150,options_prompt_shown,2026-08-08 12:07:15
e00036,s0015,ATL,B5,75,delay_detected,2026-08-17 12:10:00
e00037,s0015,ATL,B5,75,options_prompt_shown,2026-08-17 12:10:54
e00038,s0018,SEA,A3,150,delay_detected,2026-08-11 14:52:00
e00039,s0018,SEA,A3,150,options_prompt_shown,2026-08-11 14:52:53
e00040,s0018,SEA,A3,150,options_prompt_dismissed,2026-08-11 14:54:20
e00041,s0019,LAX,B9,120,delay_detected,2026-08-19 20:38:00
e00042,s0019,LAX,B9,120,options_prompt_shown,2026-08-19 20:38:18
e00043,s0020,ORD,C13,150,delay_detected,2026-08-15 02:23:00
e00044,s0020,ORD,C13,150,options_prompt_shown,2026-08-15 02:23:38
e00045,s0020,ORD,C13,150,options_prompt_dismissed,2026-08-15 02:23:49
e00046,s0021,ATL,A19,120,delay_detected,2026-08-06 03:37:00
e00047,s0021,ATL,A19,120,options_prompt_shown,2026-08-06 03:37:09
e00048,s0021,ATL,A19,120,options_prompt_dismissed,2026-08-06 03:37:20
e00049,s0022,DIA,C3,120,delay_detected,2026-08-06 07:17:00
e00050,s0022,DIA,C3,120,options_prompt_shown,2026-08-06 07:17:18
e00051,s0023,SEA,D8,180,delay_detected,2026-08-11 08:51:00
e00052,s0023,SEA,D8,180,options_prompt_shown,2026-08-11 08:51:11
e00053,s0023,SEA,D8,180,options_prompt_engaged,2026-08-11 08:52:09
e00054,s0023,SEA,D8,180,venue_selected,2026-08-11 08:54:04
e00055,s0023,SEA,D8,180,directions_viewed,2026-08-11 08:54:07
e00056,s0024,DIA,A13,150,delay_detected,2026-08-08 11:51:00
e00057,s0024,DIA,A13,150,options_prompt_shown,2026-08-08 11:51:20
e00058,s0024,DIA,A13,150,options_prompt_engaged,2026-08-08 11:52:31
e00059,s0024,DIA,A13,150,venue_selected,2026-08-08 11:54:29
e00060,s0024,DIA,A13,150,directions_viewed,2026-08-08 11:54:45
e00061,s0025,DIA,D26,180,delay_detected,2026-08-19 12:35:00
e00062,s0025,DIA,D26,180,options_prompt_shown,2026-08-19 12:35:46
e00063,s0026,DIA,B6,90,delay_detected,2026-08-11 14:30:00
e00064,s0026,DIA,B6,90,options_prompt_shown,2026-08-11 14:30:30
e00065,s0026,DIA,B6,90,options_prompt_dismissed,2026-08-11 14:30:33
e00066,s0027,LAX,C30,180,delay_detected,2026-08-17 23:29:00
e00067,s0027,LAX,C30,180,options_prompt_shown,2026-08-17 23:29:49
e00068,s0028,SEA,D5,60,delay_detected,2026-08-07 13:13:00
e00069,s0029,SEA,A24,75,delay_detected,2026-08-02 11:03:00
e00070,s0029,SEA,A24,75,options_prompt_shown,2026-08-02 11:03:37
e00071,s0029,SEA,A24,75,options_prompt_dismissed,2026-08-02 11:03:47
e00072,s0030,SEA,A28,60,delay_detected,2026-08-02 17:38:00
e00073,s0030,SEA,A28,60,options_prompt_shown,2026-08-02 17:39:00
e00074,s0030,SEA,A28,60,options_prompt_engaged,2026-08-02 17:39:18
e00075,s0031,SEA,B19,120,delay_detected,2026-08-02 02:39:00
e00076,s0031,SEA,B19,120,options_prompt_shown,2026-08-02 02:39:47
e00077,s0031,SEA,B19,120,options_prompt_dismissed,2026-08-02 02:40:23
e00078,s0032,ORD,C8,75,delay_detected,2026-08-09 16:08:00
e00079,s0032,ORD,C8,75,options_prompt_shown,2026-08-09 16:08:24
e00080,s0033,DIA,A15,120,delay_detected,2026-08-13 06:06:00
e00081,s0033,DIA,A15,120,options_prompt_shown,2026-08-13 06:06:18
e00082,s0033,DIA,A15,120,options_prompt_dismissed,2026-08-13 06:07:05
e00083,s0034,DIA,B12,75,delay_detected,2026-08-04 14:28:00
e00084,s0034,DIA,B12,75,options_prompt_shown,2026-08-04 14:28:50
e00085,s0034,DIA,B12,75,options_prompt_engaged,2026-08-04 14:30:36
e00086,s0035,DIA,C30,150,delay_detected,2026-08-03 11:56:00
e00087,s0035,DIA,C30,150,options_prompt_shown,2026-08-03 11:56:12
e00088,s0036,ORD,C10,120,delay_detected,2026-08-05 17:45:00
e00089,s0036,ORD,C10,120,options_prompt_shown,2026-08-05 17:45:48
e00090,s0036,ORD,C10,120,options_prompt_dismissed,2026-08-05 17:46:53
e00091,s0037,ATL,A3,150,delay_detected,2026-08-10 06:53:00
e00092,s0037,ATL,A3,150,options_prompt_shown,2026-08-10 06:53:05
e00093,s0037,ATL,A3,150,options_prompt_engaged,2026-08-10 06:53:24
e00094,s0038,ATL,B24,90,delay_detected,2026-08-13 00:45:00
e00095,s0038,ATL,B24,90,options_prompt_shown,2026-08-13 00:45:05
e00096,s0038,ATL,B24,90,options_prompt_engaged,2026-08-13 00:47:01
e00097,s0039,ORD,A27,75,delay_detected,2026-08-13 16:35:00
e00098,s0039,ORD,A27,75,options_prompt_shown,2026-08-13 16:35:13
e00099,s0039,ORD,A27,75,options_prompt_engaged,2026-08-13 16:36:02
e00100,s0040,DIA,C7,150,delay_detected,2026-08-06 13:42:00
e00101,s0040,DIA,C7,150,options_prompt_shown,2026-08-06 13:42:54
e00102,s0041,SEA,B30,60,delay_detected,2026-08-19 16:10:00
e00103,s0042,ORD,D1,60,delay_detected,2026-08-16 23:59:00
e00104,s0042,ORD,D1,60,options_prompt_shown,2026-08-16 23:59:31
e00105,s0043,ORD,C6,180,delay_detected,2026-08-16 05:06:00
e00106,s0043,ORD,C6,180,options_prompt_shown,2026-08-16 05:06:07
e00107,s0043,ORD,C6,180,options_prompt_dismissed,2026-08-16 05:07:08
e00108,s0044,ATL,C27,180,delay_detected,2026-08-19 20:14:00
