event_id,trip_id,airport,gate,delay_minutes,event_type,event_timestamp
e00000,t0000,ATL,,,checkin_prompt_shown,2026-08-10 16:44:55.567157
e00001,t0001,DIA,,,checkin_prompt_shown,2026-08-04 03:42:38.098828
e00002,t0001,DIA,,,flight_opted_in,2026-08-04 03:42:50.098828
e00003,t0001,DIA,A14,120.0,delay_detected,2026-08-04 09:39:07.108201
e00004,t0001,DIA,A14,120.0,options_prompt_shown,2026-08-04 09:39:27.108201
e00005,t0001,DIA,A14,120.0,options_prompt_engaged,2026-08-04 09:40:24.108201
e00006,t0001,DIA,A14,120.0,gate_entered,2026-08-04 09:41:46.108201
e00007,t0001,DIA,A14,120.0,venue_selected,2026-08-04 09:42:53.108201
e00008,t0001,DIA,A14,120.0,directions_viewed,2026-08-04 09:43:13.108201
e00009,t0002,SEA,,,checkin_prompt_shown,2026-08-02 23:03:10.778916
e00010,t0003,DIA,,,checkin_prompt_shown,2026-08-04 17:21:35.847182
e00011,t0003,DIA,,,flight_opted_in,2026-08-04 17:21:58.847182
e00012,t0003,DIA,C18,120.0,delay_detected,2026-08-04 21:04:32.044495
e00013,t0003,DIA,C18,120.0,options_prompt_shown,2026-08-04 21:04:48.044495
e00014,t0003,DIA,C18,120.0,options_prompt_engaged,2026-08-04 21:06:04.044495
e00015,t0003,DIA,C18,120.0,gate_entered,2026-08-04 21:07:01.044495
e00016,t0003,DIA,C18,120.0,venue_selected,2026-08-04 21:07:27.044495
e00017,t0003,DIA,C18,120.0,directions_viewed,2026-08-04 21:07:35.044495
e00018,t0004,SEA,,,checkin_prompt_shown,2026-08-08 10:15:43.975210
e00019,t0004,SEA,,,flight_opted_in,2026-08-08 10:16:46.975210
e00020,t0004,SEA,B23,75.0,delay_detected,2026-08-08 18:10:27.682550
e00021,t0004,SEA,B23,75.0,options_prompt_shown,2026-08-08 18:10:37.682550
e00022,t0005,SEA,,,checkin_prompt_shown,2026-08-09 02:52:58.053466
e00023,t0006,ATL,,,checkin_prompt_shown,2026-08-03 11:36:54.059245
e00024,t0006,ATL,,,flight_opted_in,2026-08-03 11:37:52.059245
e00025,t0006,ATL,B30,60.0,delay_detected,2026-08-04 06:02:43.328213
e00026,t0006,ATL,B30,60.0,options_prompt_shown,2026-08-04 06:02:50.328213
